Name,Bioguide_ID,Year,State,District,ambition_code,ambition_notes,ran_again,coding_source,redistricted
Marie Newman,N000192,2022,IL,6,3,"appointed CEO of Little City Foundation (nonprofit, developmental disabilities) April 2023",FALSE,ballotpedia/wikipedia,TRUE
Mondaire Jones,J000306,2022,NY,10,1,"ran for NY-17 (his former seat) in 2024 general, lost; also served on US Commission on Civil Rights and joined law firm",TRUE,ballotpedia/wikipedia,TRUE
Peter Meijer,M001186,2022,MI,3,2,"ran for MI U.S. Senate 2024, withdrew from primary April 2024",TRUE,ballotpedia/wikipedia,FALSE
Rodney Davis,D000619,2022,IL,15,4,joined Cozen O'Connor lobbying firm Jan 2023; later became head of govt affairs at US Chamber of Commerce,FALSE,ballotpedia/wikipedia,TRUE
Steven Palazzo,P000601,2022,MS,4,4,no further electoral activity identified post-loss; returned to private life,FALSE,ballotpedia/wikipedia,FALSE
Tom Rice,R000597,2022,SC,7,4,"returned to law practice (Rice & MacDonald Law Firm, pre-existing); no further electoral activity",FALSE,ballotpedia/wikipedia,FALSE
Daniel Lipinksi,L000563,2020,IL,3,3,distinguished visiting fellow at Hoover Institution; public advocacy/writing; teased 2022 run but did not file,FALSE,ballotpedia/wikipedia,FALSE
Eliot Engel,E000179,2020,NY,16,4,retired from politics after 32-year career; no further electoral activity identified,FALSE,ballotpedia/wikipedia,FALSE
Ross Spano,S001210,2020,FL,15,4,returned to private life; lost due to campaign finance scandal; no further electoral activity identified,FALSE,ballotpedia/wikipedia,FALSE
Scott Tipton,T000470,2020,CO,3,4,"returned to private business (co-founder of pottery company, pre-Congress); no further electoral activity identified",FALSE,ballotpedia/wikipedia,FALSE
Steve King,K000362,2020,IA,4,4,retired from politics; no further electoral activity identified post-loss,FALSE,ballotpedia/wikipedia,FALSE
Steve Watkins,W000824,2020,KS,2,4,returned to private sector; no further electoral activity identified,FALSE,ballotpedia/wikipedia,FALSE
William Lacy Clay,C001049,2020,MO,1,4,no further electoral activity identified; end of Clay family dynasty in MO-1,FALSE,ballotpedia/wikipedia,FALSE
Joseph Crowley,C001038,2018,NY,14,4,joined Squire Patton Boggs lobbying firm 2019; moved to Dentons law firm 2022; private sector only,FALSE,ballotpedia/wikipedia,FALSE
Mark Sanford,S000051,2018,SC,1,2,"ran for Republican presidential nomination 2019Ð2020, dropped out Nov 2019; considering 2026 House run as of March 2026",TRUE,ballotpedia/wikipedia,FALSE
Michael Capuano,C001037,2018,MA,7,4,joined Foley & Lardner as public affairs director 2019; later moved to Venable LLP; also appointed to Public Buildings Reform Board by Biden,FALSE,ballotpedia/wikipedia,FALSE
Robert Pittenger,P000606,2018,NC,9,4,"returned to private business (real estate investor, pre-Congress background); no further electoral activity",FALSE,ballotpedia/wikipedia,FALSE
Chaka Fattah,F000043,2016,PA,2,4,convicted on 23 counts racketeering/fraud 2016; resigned from Congress June 2016; sentenced 10 years prison; released June 2020; founded Fattah Neuroscience Global Advisors consulting firm,FALSE,ballotpedia/wikipedia,FALSE
Corrine Brown,B000911,2016,FL,5,1,"convicted on fraud charges 2017; served ~2 yrs prison; conviction overturned on appeal; pleaded guilty to tax fraud May 2022; ran for FL-10 congressional seat 2022, lost primary",TRUE,ballotpedia/wikipedia,TRUE
Renee Ellmers,E000291,2016,NC,2,2,"ran for NC Lt. Governor 2020, placed 5th in primary; ran for NC-13 House seat 2022, placed 5th in primary",TRUE,ballotpedia/wikipedia,TRUE
Tim Huelskamp,H001057,2016,KS,1,3,president/CEO of Heartland Institute think tank June 2017ÐJune 2019; senior political advisor for CatholicVote.org,FALSE,ballotpedia/wikipedia,FALSE
J. Randy Forbes,F000445,2016,VA,2,4,joined Greenberg Traurig law firm as senior director 2017; teaching at Regent University; fellow at Naval War College; board of Center for Strategic and Budgetary Assessments,FALSE,ballotpedia/wikipedia,TRUE
Eric Cantor,C001046,2014,VA,7,4,joined Moelis & Company investment bank as vice chairman and managing director Sept 2014; still there as of 2026,FALSE,ballotpedia/wikipedia,FALSE
John Tierney,T000266,2014,MA,6,3,executive director of Council for a Livable World and Center for Arms Control and Non-Proliferation March 2016Ðpresent; appointed to Public Interest Declassification Board by Biden,FALSE,ballotpedia/wikipedia,FALSE
Kerry Bentivolio,B001280,2014,MI,11,1,"ran for same MI-11 seat multiple times: 2016 (independent), 2018 (Republican primary, lost), 2020 (Republican primary, lost)",TRUE,ballotpedia/wikipedia,FALSE
Ralph Hall,H000067,2014,TX,4,4,"retired to Rockwall TX; died March 7, 2019 at age 95; was 91 when he left Congress",FALSE,ballotpedia/wikipedia,FALSE
Benjamin Quayle,Q000024,2012,AZ,6,4,Clark Hill lobbying; Venture Government Strategies,FALSE,ballotpedia/wikipedia,TRUE
Clifford Bundy Stearns,S000822,2012,FL,3,4,Returned to private life,FALSE,ballotpedia/wikipedia,FALSE
Dennis J. Kucinich,K000336,2012,OH,9,2,"Fox News contributor 2013Ð18; ran OH gov 2018, Cleveland mayor 2021, OH-7 independent 2024",TRUE,ballotpedia/wikipedia,TRUE
Donald A. Manzullo,M001138,2012,IL,16,3,Korea Economic Institute CEO 2013Ð18; Rockford University adjunct + senior policy advisor,FALSE,ballotpedia/wikipedia,TRUE
Hansen Clarke,C001085,2012,MI,14,1,"Ran for MI-14 open seat 2014 primary, lost to Brenda Lawrence",TRUE,ballotpedia/wikipedia,TRUE
Jason Altmire,A000362,2012,PA,12,4,Health insurance exec; CEO of CECU trade association 2020Ðpresent; adjunct prof Texas Tech,FALSE,ballotpedia/wikipedia,TRUE
Jean Schmidt,S001164,2012,OH,2,1,Elected to Ohio state House 2020Ðpresent,TRUE,ballotpedia/wikipedia,FALSE
John Sullivan,S001155,2012,OK,1,4,Returned to private life,FALSE,ballotpedia/wikipedia,FALSE
Russ Carnahan,C001060,2012,MO,1,2,"Carnahan Global Consulting; ran MO Lt. Governor 2016, lost general",TRUE,ballotpedia/wikipedia,TRUE
Sandy Adams,A000366,2012,FL,7,4,Returned to private life,FALSE,ballotpedia/wikipedia,TRUE
Silvestre Reyes,R000170,2012,TX,16,4,Returned to private life,FALSE,ballotpedia/wikipedia,FALSE
Steven Rothman,R000462,2012,NJ,9,4,Returned to private life,FALSE,ballotpedia/wikipedia,TRUE
Tim Holden,H000712,2012,PA,17,3,"Appointed PA Liquor Control Board 2013, named chairman 2015, retired Nov 2024",FALSE,ballotpedia/wikipedia,FALSE
Alan Mollohan,M000844,2010,WV,1,4,"""Of Counsel"" at Nelson Mullins Riley & Scarborough law firm (Huntington, WV); no further electoral activity",FALSE,ballotpedia/wikipedia,FALSE
Bob Inglis,I000023,2010,SC,4,3,Founded Energy and Enterprise Initiative (E&EI) at George Mason University 2012 ; rebranded as republicEn.org 2014; Executive Director to present; won 2015 JFK Profile in Courage Award,FALSE,ballotpedia/wikipedia,FALSE
Carolyn Cheeks Kilpatrick,K000180,2010,MI,13,4,"Retired from public life; moved to suburban Atlanta; no further electoral activity; died October 7, 2025",FALSE,ballotpedia/wikipedia,FALSE
Parker Griffith,G000557,2010,AL,5,2,"Ran for AL-5 rematch as Republican 2012 (lost big); returned to Democratic Party 2014; ran for AL Governor 2014 as Democrat, lost general; now retired",TRUE,ballotpedia/wikipedia,FALSE
Al Wynn,W000784,2008,MD,4,4,"Resigned May 31, 2008 (before term ended); joined Dickstein Shapiro as lobbying partner; began lobbying Congress June 2009 after 1-year cooling-off period",FALSE,ballotpedia/wikipedia,FALSE
Chris Cannon,C000116,2008,UT,3,4,"Returned to private life as lawyer/business owner/venture capitalist in Utah; backed a 2010 state ethics reform ballot initiative; died May 8, 2024",FALSE,ballotpedia/wikipedia,FALSE
David Davis,D000606,2008,TN,1,4,"Returned to private sector as president of Shared Health Services, Inc. (wound care/hyperbaric oxygen therapy management company) in Tennessee",FALSE,ballotpedia/wikipedia,FALSE
Wayne Gilchrest,G000180,2008,MD,1,4,Worked in environmental education post-Congress; joined ReFormers Caucus of Issue One; became registered Democrat in 2019; no further electoral activity,FALSE,ballotpedia/wikipedia,FALSE
Cynthia McKinney,M000523,2006,GA,4,2,Left Democratic Party Sept 2007; Green Party presidential nominee 2008 (0.12% of vote); VP candidate Green Party of Alaska 2020; activist/lecturer; conspiracy theorist trajectory post-Congress,TRUE,ballotpedia/wikipedia,FALSE
Joe Schwarz,S001161,2006,MI,7,3,Appointed to DoD independent panel investigating Walter Reed Hospital (by Sec. Gates); appointed to Gov. Granholm's Emergency Financial Advisory Panel; rejoined Altarum Institute board; teaching position at U-Michigan Ford School of Public Policy fall 2007; considered 2010 MI governor run as independent but didn't file,FALSE,ballotpedia/wikipedia,FALSE
Chris Bell,B001241,2004,TX,9,2,"Won TX Democratic gubernatorial nomination 2006, lost general to Rick Perry; returned to law practice in Houston; ran for TX Senate special election runoff 2008; ran for Houston mayor 2015; ran for US Senate TX 2020 (6th in primary); running for TX governor 2026",TRUE,ballotpedia/wikipedia,TRUE
Ciro Rodriguez,R000568,2004,TX,28,3,Founded Rio Strategy Group LLC (government relations) with former chief of staff 2005; works with Lone Star Consulting LLC; elected justice of the peace for Bexar County 2015Ð2021,FALSE,ballotpedia/wikipedia,TRUE
Bob Barr,B000169,2002,GA,7,2,"Founded Liberty Strategies LLC consulting firm 2004; ACU 21st Century Liberties Chair 2003Ð08; joined Libertarian Party 2006; Libertarian presidential nominee 2008 (0.4%); rejoined Republican Party 2011; ran for GA-11 House 2014, lost R runoff to Loudermilk; NRA president 2024Ð25; lobbyist/commentator",TRUE,ballotpedia/wikipedia,TRUE
Brian D. Kerns,K000359,2002,IN,4,4,Returned to private life (journalism/administration background); district eliminated entirely by redistricting,FALSE,ballotpedia/wikipedia,TRUE
Cynthia McKinney,M000523,2002,GA,4,1,"Ran for GA-4 2004 primary (won, returned to Congress); this is her first 2002 loss Ñ code 1 since she reclaimed the seat",TRUE,ballotpedia/wikipedia,FALSE
Earl Hilliard,H000621,2002,AL,7,4,Returned to law practice in Birmingham (Hilliard & Company); no further electoral activity,FALSE,ballotpedia/wikipedia,TRUE
Frank Mascara,M000212,2002,PA,12,4,"Returned to private life; died July 10, 2011 of lung cancer",FALSE,ballotpedia/wikipedia,TRUE
Gary Condit,C000670,2002,CA,18,4,"Moved to Arizona; opened two Baskin-Robbins franchises (failed, sued for breach of contract); later registered lobbyist with J. Blonien law firm Sacramento; no further electoral activity",FALSE,ballotpedia/wikipedia,FALSE
Lynn N. Rivers,R000281,2002,MI,15,3,"Political science instructor at Washtenaw Community College starting Jan 4, 2003 (literally the day after leaving Congress); also taught at University of Michigan; hosted local NPR radio show on politics",FALSE,ballotpedia/wikipedia,TRUE
Thomas C. Sawyer,S000094,2002,OH,17,1,"Elected to Ohio State Senate 2006, served 2007Ð2016; died May 20, 2023",TRUE,ballotpedia/wikipedia,TRUE
Matthew G. Martinez,M000206,2000,CA,31,4,"Switched to Republican Party July 27, 2000 after primary loss; retired at end of term Jan 2001; died Oct 15, 2011 in Fredericksburg VA",FALSE,ballotpedia/wikipedia,FALSE
Merrill Cook,C000722,2000,UT,2,2,"Ran for Salt Lake County mayor as independent 2004 (8%); ran for UT-2 R primary 2006 (eliminated early); ran for UT-2 R primary 2008 (lost); ran for US Senate against Bob Bennett 2010 (eliminated at convention); serial candidate; died March 9, 2026",TRUE,ballotpedia/wikipedia,FALSE
Michael Forbes,F000257,2000,NY,1,4,Founded own communications/PR firm 2001; moved to Texas 2005; 5 years of Catholic theological formation _ ordained permanent deacon Roman Catholic Diocese of Austin 2013; earned MA in canon law from St. Paul's University Ottawa,FALSE,ballotpedia/wikipedia,FALSE
Jay Kim,K000181,1998,CA,41,2,Pleaded guilty to $230K illegal campaign contributions 1997; wore ankle monitor; taught political science at South Korean university 1999; ran for CA-42 R primary 2000 (lost); active in US-Korea relations/diplomacy; chair Jay Kim Foundation; returned to South Korea,TRUE,ballotpedia/wikipedia,FALSE
Barbara-Rose Collins,C000633,1996,MI,15,1,Elected to Detroit City Council 2001; re-elected 2005; retired 2009,TRUE,ballotpedia/wikipedia,FALSE
Greg Laughlin,L000119,1996,TX,14,4,Senior counsel at Pillsbury Winthrop Shaw Pittman law/lobbying firm (Washington DC); government relations and congressional consulting,FALSE,ballotpedia/wikipedia,FALSE
Craig Washington,W000177,1994,TX,18,4,Returned to law practice in Houston and Bastrop TX; maintains farm near Bastrop; no further electoral activity,FALSE,ballotpedia/wikipedia,FALSE
David Levy,L000267,1994,NY,4,4,Served as counsel to town supervisor of Hempstead NY 1995Ð2017; practiced law,FALSE,ballotpedia/wikipedia,FALSE
Lucien Blackwell,B000517,1994,PA,2,4,"Joined Washington-based lobbying firm (represented City of Philadelphia); listed as ""private advocate""; died January 24, 2003",FALSE,ballotpedia/wikipedia,FALSE
Mike Synar,S001139,1994,OK,2,4,"Died January 9, 1996 of brain tumor, age 45 Ñ only 14 months after his 1994 primary loss",FALSE,ballotpedia/wikipedia,FALSE
